Year,Indicator,Units,Sex,Category,Age,Value
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,aged 56 - 62 years,3.43
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,aged 56 - 62 years,2.87
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,aged 63 and older,5.06
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,aged 63 and older,3.39
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,aged 63 and older,6.19
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,,3.62
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,,3.68
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,old age,,1.11
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,old age,,0.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,old age,,1.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,disability,,2.08
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,disability,,2.54
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,disability,,1.66
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,in case of losing a breadwinner,,0.46
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,in case of losing a breadwinner,,0.42
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,in case of losing a breadwinner,,0.5
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,up to 51 years old,2.78
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,up to 51 years old,3.25
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,up to 51 years old,2.31
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,aged 51 - 55 years,4.04
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,aged 51 - 55 years,6.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,aged 51 - 55 years,2.74
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,aged 56 - 62 years,3.47
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,aged 56 - 62 years,3.4
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,aged 56 - 62 years,3.56
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,aged 63 and older,6.37
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,male,,aged 63 and older,13.45
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,female,,aged 63 and older,1.58
2016,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,28231.0
2017,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,26386.0
2018,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,24720.0
2019,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,23652.0
2020,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,25085.0
2021,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,20617.0
2022,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,20186.0
2023,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,19004.0
2024,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,person,,,,18572.0
2015,Share of poor population who receive family benefit,%,,,,27.5
2016,Share of poor population who receive family benefit,%,,,,24.3
2017,Share of poor population who receive family benefit,%,,,,31.3
2018,Share of poor population who receive family benefit,%,,,,32.1
2019*,Share of poor population who receive family benefit,%,,,,25.6
2020*,Share of poor population who receive family benefit,%,,,,22.0
2021,Share of poor population who receive family benefit,%,,,,26.3
2022,Share of poor population who receive family benefit,%,,,,29.5
2023,Share of poor population who receive family benefit,%,,,,29.1
2015,"Share of poor population who receive social assistance, including family benefit",%,,,,27.8
2016,"Share of poor population who receive social assistance, including family benefit",%,,,,30.0
2017,"Share of poor population who receive social assistance, including family benefit",%,,,,32.8
2018,"Share of poor population who receive social assistance, including family benefit",%,,,,33.3
2019*,"Share of poor population who receive social assistance, including family benefit",%,,,,23.2
2020*,"Share of poor population who receive social assistance, including family benefit",%,,,,28.7
2021,"Share of poor population who receive social assistance, including family benefit",%,,,,34.6
2022,"Share of poor population who receive social assistance, including family benefit",%,,,,42.7
2023,"Share of poor population who receive social assistance, including family benefit",%,,,,45.5
