Year,Индикатор,Units,Пол,Категория,Возраст,Value
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.85
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.47
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,1.19
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,2.03
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.49
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.61
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.46
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.41
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.49
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.77
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,3.24
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.3
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,3.88
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,4.73
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,3.17
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,3.12
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,3.43
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,2.87
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,5.06
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,3.39
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,6.19
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,3.62
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,3.68
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,1.11
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,1.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,2.08
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.54
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.66
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.46
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.42
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.5
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.78
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,3.25
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.31
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,4.04
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,6.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.74
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,3.47
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,3.4
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,3.56
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,6.37
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,13.45
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,1.58
2016,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,28231.0
2017,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,26386.0
2018,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,24720.0
2019,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,23652.0
2020,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,25085.0
2021,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,20617.0
2022,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,20186.0
2023,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,19004.0
2024,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,человек,,,,18572.0
2015,Share of poor population who receive family benefit,%,,,,27.5
2016,Share of poor population who receive family benefit,%,,,,24.3
2017,Share of poor population who receive family benefit,%,,,,31.3
2018,Share of poor population who receive family benefit,%,,,,32.1
2019*,Share of poor population who receive family benefit,%,,,,25.6
2020*,Share of poor population who receive family benefit,%,,,,22.0
2021,Share of poor population who receive family benefit,%,,,,26.3
2022,Share of poor population who receive family benefit,%,,,,29.5
2023,Share of poor population who receive family benefit,%,,,,29.1
2015,"Share of poor population who receive social assistance, including family benefit",%,,,,27.8
2016,"Share of poor population who receive social assistance, including family benefit",%,,,,30.0
2017,"Share of poor population who receive social assistance, including family benefit",%,,,,32.8
2018,"Share of poor population who receive social assistance, including family benefit",%,,,,33.3
2019*,"Share of poor population who receive social assistance, including family benefit",%,,,,23.2
2020*,"Share of poor population who receive social assistance, including family benefit",%,,,,28.7
2021,"Share of poor population who receive social assistance, including family benefit",%,,,,34.6
2022,"Share of poor population who receive social assistance, including family benefit",%,,,,42.7
2023,"Share of poor population who receive social assistance, including family benefit",%,,,,45.5
