Year,Indicator,Units,Սեռ,Կատեգորիա,Տարիք,Value
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,3.09
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.19
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,3.84
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,4.13
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,3.22
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,2.73
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,2.81
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,2.67
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,3.52
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,2.15
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,4.42
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.03
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,3.15
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,2.93
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.59
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.3
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.85
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.98
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.44
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.58
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.46
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.42
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.5
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.62
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,3.08
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.17
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,3.95
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,4.92
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,3.2
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,3.01
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,3.26
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,2.82
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,4.51
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,2.83
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,5.61
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.34
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,3.38
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,3.3
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.85
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.47
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,1.19
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,2.03
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.49
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.61
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.46
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.41
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.49
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.77
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,3.24
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.3
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,3.88
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,4.73
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,3.17
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,3.12
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,3.43
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,2.87
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,5.06
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,3.39
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,6.19
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,3.62
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,3.68
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,1.11
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.65
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,1.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,2.08
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.54
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.66
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.46
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.42
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.5
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.78
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,3.25
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.31
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,4.04
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,6.53
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.74
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,3.47
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,3.4
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,3.56
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,6.37
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,13.45
2024,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,1.58
2016,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,28231.0
2017,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,26386.0
2018,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,24720.0
2019,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,23652.0
2020,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,25085.0
2021,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,20617.0
2022,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,20186.0
2023,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,19004.0
2024,Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,մարդ,,,,18572.0
2015,Share of poor population who receive family benefit,%,,,,27.5
2016,Share of poor population who receive family benefit,%,,,,24.3
2017,Share of poor population who receive family benefit,%,,,,31.3
2018,Share of poor population who receive family benefit,%,,,,32.1
2019*,Share of poor population who receive family benefit,%,,,,25.6
2020*,Share of poor population who receive family benefit,%,,,,22.0
2021,Share of poor population who receive family benefit,%,,,,26.3
2022,Share of poor population who receive family benefit,%,,,,29.5
2023,Share of poor population who receive family benefit,%,,,,29.1
2015,"Share of poor population who receive social assistance, including family benefit",%,,,,27.8
2016,"Share of poor population who receive social assistance, including family benefit",%,,,,30.0
2017,"Share of poor population who receive social assistance, including family benefit",%,,,,32.8
2018,"Share of poor population who receive social assistance, including family benefit",%,,,,33.3
2019*,"Share of poor population who receive social assistance, including family benefit",%,,,,23.2
2020*,"Share of poor population who receive social assistance, including family benefit",%,,,,28.7
2021,"Share of poor population who receive social assistance, including family benefit",%,,,,34.6
2022,"Share of poor population who receive social assistance, including family benefit",%,,,,42.7
2023,"Share of poor population who receive social assistance, including family benefit",%,,,,45.5
